category,title,summary,description,target_audience
Математическая логика,Математическая логика и теория алгоритмов,"Курс разработан командой студентов СПБГЭТУ ""ЛЭТИ"" под руководством Фарида Михайлова для изучения основной теории по математической логике и теории алгоритмов.","При прохождении нашего курса вам будет предложен теоретический материал и разбор типовых задач для применения полученных знаний.

В данном курсе представлены основы математической логики, в частности булевы функции, логика высказываний и предикатов, формальные языки, которые в дальнейшем помогут при освоении семантики языков программирования, поэтому этот курс будет интересен для людей, желающих связать своё будущее с IT-сферой. Также в этом курсе рассматривается теория построения алгоритмов, в частности, машина Тьюринга, с помощью которой можно представить практически любую конечную последовательность действий.

Прохождение этого курса будет полезно для понимания методов формализации умозаключений, научит генерировать словесный язык в язык формул, который является универсальным, а также поможет развить логическое мышление.",
Математическая логика,Специальные главы математики,"В курсе рассматриваются теоретические и практические основы теории массового
обслуживания и случайных процессов с дискретными состояниями. В результате освоения курса студенты должны обладать знаниями, умениями и навыками
рационального выбора, разработки и использования математических моделей для
эффективного решения как профессиональных, так и научно-исследовательских задач.","Цель курса: получение знаний об общих подходах, методах и моделях использования методов теории массового обслуживания и основ теории случайных процессов для решения конкретных задач.

Задачи курса:
- изучение основных методов и способов использования случайных процессов и методов теории массового обслуживания для описания и оценки функционирования сложных систем, технологий;
- формирование навыков в постановке и определении общих методов решения практических задач по описанию и оценке функционирования современных систем и технологий на различных стадиях их создания и эксплуатации;
- освоение методов и приемов построения моделей функционирования сложных систем и технологий с использованием конкретных случайных процессов и систем массового обслуживания.","Целевой аудиторией данного курса являются магистры I-года обучения СПбГЭТУ ""ЛЭТИ"", обучающиеся по магистерским программам направления ""Информационные системы и технологии"" (09.04.02) и «Системный анализ и управление» (27.04.030), изучающие дисциплину ""Специальные главы математики"". Кроме того, курс обеспечивает последующее изучение дисциплины «Методы экспертного оценивания и групповая экспертиза», а также написание ВКР."
Математическая логика,Основы нечеткой логики. Часть 1,"В курсе рассматриваются понятие нечеткого множества и основные свойства нечетких множеств, определены операции с нечеткими множествами. Отдельный модуль посвящен изучению возможных методов задания функций принадлежности нечетких множеств.

Изученные вопросы позволят в дальнейшем перейти к изучению теории и практики построения решающих и управляющих нечетких систем.",,
Математическая логика,ЕН.02 ДИСКРЕТНАЯ МАТЕМАТИКА С ЭЛЕМЕНТАМИ МАТЕМАТИЧЕСКОЙ ЛОГИКИ,Программа учебной дисциплины является частью основной профессиональной образовательной программы в соответствии с ФГОС по специальности СПО 09.02.07 Информационные системы и программирование (Программист),"дисциплина «Дискретная математика с элементами математической логики» принадлежит к математическому и общему естественнонаучному циклу (ЕН.00).

Требования к результатам освоения дисциплины:

В результате освоения дисциплины обучающийся должен уметь:

· Применять логические операции, формулы логики, законы алгебры логики.

· Формулировать задачи логического характера и применять средства математической логики для их решения.

В результате освоения дисциплины обучающийся должен знать:

· Основные принципы математической логики, теории множеств и теории алгоритмов.

· Формулы алгебры высказываний.

· Методы минимизации алгебраических преобразований.

· Основы языка и алгебры предикатов.

· Основные принципы теории множеств.
","КОД, СПЕЦИАЛЬНОСТЬ  09.02.07 Информационные системы и программирование (Программист)"
Математическая логика,Математическая логика,"Курс ""Математическая логика"" предназначен для  ознакомления обучающихся с основными понятиями, определениями и историей математической логики, выработки практических навыков решения задач по математической логике, развития у обучающихся строгого критического мышления. ","Предложенный курс предназначен для углубленного изучение дисциплины математическая логика в 8 – 9 классах. Курс также может быть полезен для  освоения указанной темы в рамках самостоятельного или дополнительного изучения. Помимо основных, данный курс содержит в себе ряд дополнительных разделов предназначенных расширить кругозор обучающихся, сформировать у них целостное представление о математической логике, её разделах и связи с другими дисциплинами.
",Школьники 8 - 11 классов и все интересующиеся математической логикой.
Математическая логика,Математическая логика и теория алгоритмов,"Авторский курс, разработанный с учетом потребностей и возможностей аудитории разных возрастов и уровня подготовки.  Материал достаточно сложный, но преподнесен понятным и доступным языком, а также иллюстрирован оригинальными и разнообразными примерами и пояснениями. Простота изложения материала позволит освоить курс любому человеку, желающему понять основы математической логики и применить ее в реальной жизни.","Математическая логика возникла почти 100 лет назад в связи с внутренними потребностями математики. Но со временем она нашла применение также в теоретическом и практическом программировании и сегодня помогает преодолеть недостатки естественных языков — их неточность, многозначность и сложность.При решении прикладных задач часто появляется необходимость переводить информацию с содержательного языка на математический, оттуда на язык численных методов и алгоритмов, а с него на конкретный язык программирования, и обратно. Знание мощных и простых способов преобразования математических предложений, предоставляемых математической логикой, понадобятся каждому, кто хочет начать заниматься исследованиями или создавать эффективные программы.Наряду с рассмотрением сложных вопросов на достаточно строгом уровне, курс содержит множество примеров и пояснений, которые помогут усвоить трудные понятия и проблемы.","Курс рассчитан на студентов, обучающихся инженерным специальностям, и школьников старших классов, увлекающихся логикой и математикой. Но простота изложения материала позволит освоить курс любому человеку, желающему понять основы математической логики."
География,Курс первый: Картография,"Этот план обучения обеспечивает последовательный переход от фундаментальных понятий к актуальным цифровым навыкам, делая выпускника способным читать осмысленные и технически грамотные карты.","Цель курса: Сформировать комплексное понимание картографии как науки, искусства и технологии, развить навыки создания и анализа карт различного назначения.

Курс состоит из четырёх модулей:

Модуль 1: Введение в картографию. Карта как модель мира

Модуль 2: Математическая основа карт

Модуль 3: Язык карты: Условные обозначения и генерализация

Модуль 4: Современная цифровая картография и ГИС","Создан для тех, кто хочет сформировать комплексное понимание картографии как науки, искусства и технологии, развить навыки создания и анализа карт различного назначения."
География,Экономика отраслей народного хозяйства: пространственный аспект,"Наш курс познакомит слушателей с основами экономической географии, фокусируя внимание на географии населения и отраслей мирового хозяйства. Соответственно, материал курса поделен на 3 раздела: 
1. Теория экономической географии.
2. География населения.
3. География отраслей мирового хозяйства. 
Курс будет полезен студентам и специалистам в области социально-гуманитарных дисциплин, а также подойдет изучающим собственно экономические и географические науки.","Курс состоит из 3 разделов, в каждом из которых 6-7 видео-лекций (10-15 минут), мини-тестов после каждого раздела для закрепления материала и итогового теста. ","Для студентов бакалавриата, специалитета, магистратуры изучающих географию и социально-экономические науки, а также географию. Для специалистов, которым необходимо освоить смежные области знаний или для саморазвития. Для работников компаний, сотрудничающих с зарубежными предприятиями.  "
География,Меняющийся Китай: между традицией и современностью,"Данный курс знакомит слушателей с основными тенденциями в
развитии современного Китая. На текущем этапе развитие
характеризуется синтезом традиций и элементов модернизации, а
также выходом Китая на ведущие мировые позиции в условиях осыпания
постбиполярного миропорядка и нарастанием внутри самой страны
националистических тенденций. Курс предназначен для
студентов-международников и широкой аудитории, интересующейся
проблематикой современных международных отношений.","Основной целью курса является формирование у слушателя
представления о современном состоянии общественно-политического
развития КНР – крупнейшей экономики мира и важнейшего
стратегического партнёра России. Курс построен таким образом, чтобы
выявить движущие силы, закономерности и тенденции развития Китая,
изучить специфические особенности китайской модели развития,
проанализировать её на предмет возможного заимствования извне.","Студенты высших учебных заведений, обучающиеся по направлениям
«Международные отношения», «Политология», «Зарубежное
регионоведение», а также широкая аудитория, интересующаяся
проблематикой современных международных отношений."
География,Нефтяная промышленность География | ИИ мини-курс,"Курс предназначен для изучения нефтяной индустрии и её влияния на географию разных регионов. Ученики узнают о процессах добычи, переработки и транспортировки нефти, а также о её роли в мировой экономике.
Авторы: Розенблат Ян, Нарукавников Григорий",,
География,Концептуальные основы современной географии,"Курс предназначен для магистрантов, обучающихся по направлению подготовки ""Педагогическое образование"" (направленность ""Географическое образование""). ",,
География,История географической мысли Японии XVII-XIX веков,"Вы интересуетесь Японией? Вас привлекают географические особенности, история и культура данного региона? Возможно, Вы даже изучаете японский язык? В таком случае это курс для Вас!
Мы предлагаем Вам погрузиться в историю географической мысли Японии XVII-XIX вв., проследить, как формировалось и трансформировалось представление японцев о своей стране и внешнем мире, познакомиться трудами видных ученых и просветителей того времени.","Цель курса «История географической мысли Японии XVII-XIX вв.» - &nbsp;формирование у слушателей знаний об истории географической мысли в Японии и осмысление представлений японцев о Японии и других странах в XVII-XIX вв.

Почему стоит выбрать: Данный курс содержит в себе глубокое историческое исследование географических факторов развития Японии и взгляд Японии на свою страну и внешний мир. Слушателям предлагается ознакомиться с авторским решением конкретных проблем и новаторской трактовкой изучаемой темы с использованием современных методов и инструментов проведения исследований.

Что приобретете: на курсе «История географической мысли Японии XVII-XIX вв.» у слушателей сформируется представление о структурных принципах развития географии и её роли в истории Японии.

Особенности курса: особую привлекательность курса составляют всестороннее знакомство с Японией и фундаментальный подход к освещению темы курса. Слушателям предоставляется уникальная возможность через призму истории, этнографии, культуры, религии, литературы, системы ценностей японского народа узнать об истории географической мысли Японии&nbsp; XVII – XIX вв., познакомиться с целым рядом выдающихся японских мыслителей того времени и их сочинениями. Кроме того, слушатели смогут узнать, как проводились уроки краеведения в японской школе на рубеже XIX – XX вв. А в заключении курса слушатели откроют для себя чарующий мир японских настольных игр сугороку, темой которых часто становилась география Японии и мировая география. &nbsp;

Что нужно делать: на курсе слушателям будет предложено просмотреть видео-ролики к каждому уроку, прочитать обучающий материал, ответить на вопросы по пройденной программе или сделать тест.&nbsp; В качестве дополнительного материала может быть предложена дополнительные статьи русских и/или зарубежных исследователей.

Курс состоит из 6 модулей:

Модуль 1. &nbsp;Уникальные островитяне,

Модуль 2. Духовный климат в японском обществе,

Модуль 3. История и литература Японии,

Модуль 4. Географическая мысль Японии XVII-XVIII вв.,

Модуль 5. Географическая мысль Японии XIX в.,

Модуль 6. Япония этнографическая и игровая.&nbsp;

Авторы курса:

Шарова Анна Борисовна ассистент кафедры иностранных языков филологического факультета Российского университета дружба народов.

Воркина Ксения Сергеевна кандидат культурологии, доцент кафедры иностранных языков филологического факультета Российского университета дружба народов.","Курс будет полезен слушателям, интересующихся Японией, историей географической мысли, кругу лиц, изучающих историю, этнографию, географию и культуру Японии."
География,Socio-economic development of the Russian Far East,"The course ""Socio-economic development of the Far East"" is devoted to the regimes of the Free Port of Vladivostok, territories of advanced development and other specific forms of economic activity in the context of the historical features of the formation of the Far Eastern regional policy of Russia, as well as the implementation of modern international projects of cross-border cooperation and integration in the APR.","Hallo and welcome! My name is Nikolay Vorontsov, and I’m glad to introduce you to the course ""Socio-economic development of the Russian Far East"". It’s devoted to the formation of the far eastern state policy of Russia and Russia's participation in the integration processes of the Asia-Pacific region. 

The course also examines the internal and external factors of the development of the Far East:


	History of the development of the Far East and its most important centers, major infrastructure projects in various eras: during the Russian Empire, in the Soviet era and in modern times;
	The features of state policy, the adoption and implementation of major state programs;
	New points of economic growth, the development and implementation of large strategic projects for the development of the Far East;
	Integration processes of the Asia-Pacific region, the international division of labor, the formation of international transport corridors.


The world is rapidly moving forward. It opens up new horizons but at the same time brings us new challenges from year to year. How can we save ourselves and our homeland in these turbulent times?

Together we'll try to find the answer. The experience of all generations and modern scientific research will help us understand current issues of politics, economics, business, medicine, transport, and social security.",41.03.05 – International relations
География,Советский город как социально-культурный феномен,"Курс посвящен формированию советского городского пространства послевоенного СССР. 
Новый курс, направленный на изучение советского города, актуализирует не только появление новых исследований в этой области, но и способствует активной музейно-выставочной деятельности с использованием фотоматериалов, отражающих особенности быта прошлого.","Основной задачей курса является изучение социально-культурного пространства советского послевоенного города. Что представляла собой жизнь человека в советском городе? Какие социальные, культурные и идеологические факторы формировали городскую среду?

В курсе рассмотрена динамика изменений социокультурных и историко-культурологических признаков инфраструктуры пространства советских послевоенных городов. Учебный курс нацелен на формирование теоретических и прикладных навыков работы с различными областями истории советской России.

Знакомство с проблематикой Public history занимает существенную часть курса. Курс позволяет как получить системные знания в области событийной истории, так и овладеть современными теориями и методами изучения прошлого (в том числе, компаративного характера). В данном курсе предпринимается попытка в ракурсе «визуального поворота» в социальных и гуманитарных науках рассмотреть проблему формирования советской идентичности советских городов. В качестве источника исследования выбраны видовые открытки, фотографии из прессы, семейные фотоархивы, воспоминания и др.

Курс позволит получить магистранту знания в области    истории,    овладеть   современной    методологией исторической науки, междисциплинарными методами исследования прошлого, быть готовым к выполнению научно-исследовательской, культурно-просветительской и  экспертно-аналитической деятельности  в  области  истории  советского  города и общества.","Дисциплина, под которую разрабатывается проект, будет являться базовой частью профессионального цикла ООП подготовки магистра по направлению 46.04.01 «Российская цивилизация: история и современность». "
География,География (Основы наук о Земле),"Курс построен на представлении о единстве и взаимосвязи компонентов географической оболочки Земли. Он заложит основы научных знаний о науках о Земле, позволит уяснить основные географические закономерности и тенденции развития географических явлений и процессов, сформирует целостное представление о современном мире и о месте России в нем, систематизирует географическую информацию.","Курс расскажет о географических особенностях природы и населения разных территорий нашей планеты, ведь география – это не просто наука, а способ изучения современного мира, понимание каждым своего места в мире как части окружающей среды, ответственности за ее сохранение.

Задачи курса:


	конкретизировать представления о пространственной неоднородности поверхности Земли на разных уровнях ее дифференциации (от планетарного до локального);
	выявить географические особенности природы, населения разных территорий, в том числе России;
	сформировать целостное представление о современном мире, о месте России в этом мире;
	закрепить картографическую грамотность;
	уяснить смысл основных географических понятий и терминов;
	выявить и объяснять существенные признаки географических объектов и явлений, выявляя причинно-следственные связи;
	иметь представление об окружающей среде, путях ее сохранения и рационального использования.


В процессе освоения дисциплины обучающиеся смогут:


	оценивать и прогнозировать влияние человека на отдельные компоненты природы и влияние природы на все стороны человеческой деятельности;
	объяснять географическую специфику крупных природных географических оболочек, географические явления и процессы в геосферах и взаимосвязи между ними, географические следствия движений Земли, изменение в географической оболочке в результате деятельности человека; географическую зональность и поясность;
	определять и сравнивать по разным источникам информации географические тенденции развития природных, социально-экономических и геоэкологических объектов, процессов и явлений;
	опираться на современные научные представления в процессе изучения географии и экологии;
	анализировать демографическую, экономическую, экологическую ситуацию на локальном, региональном, глобальном уровнях;
	объяснять существенные признаки географических объектов и явлений, выявляя причинно-следственные связи.


Преподаватель



Ромашова Татьяна Владимировна

Кандидат географических наук, доцент кафедры географии геолого-географического факультета НИ ТГУ",
География,Подготовка к 1 отборочному этапу НТО по географии,,,
География,"История, литература, культура родного края","Курс реализует часть программы  дисциплины общего гуманитарного и социально-экономического цикла ""История, литература, культура родного края"" в рамках дистанционного обучения студентов СПО.","Курс ""История, литература, культура родного края"" (ИЛКРК) разработан в соответствии с требованиями:

 - Федерального государственного образовательного стандарта по специальностям среднего профессионального образования (далее - СПО): 49.02.01 Физическая культура, утвержденного приказом Министерства образования и науки РФ от 27 октября 2014 г. № 1355; Преподавание в начальных классах, утвержденного приказом Министерства образования и науки РФ от 27 октября 2014 г. № 1353; Дошкольное образование, утвержденного приказом Министерства образования и науки РФ от 27 октября 2014 г. № 1351; Педагогика дополнительного образования, утвержденного приказом Министерства образования и науки РФ от 13 августа 2014 г. № 998;

- Программы подготовки специалистов среднего звена по специальности 49.02.01 Физическая культура;

- Программы подготовки специалистов среднего звена по специальности 44.02.02. Преподавание в начальных классах;

- Программы подготовки специалистов среднего звена по специальности 44.02.01. Дошкольное образование;

- Программы подготовки специалистов среднего звена по специальности 44.02.03. Педагогика дополнительного образования;

- Рабочей программы учебной дисциплины ОГСЭ 08. История, литература, культура родного края.

Курс является часть учебно-методического комплекса дисциплины ""История, литература, культура родного края"".",студенты второго курса  учреждений среднего профессионального образования 
География,ИЛКРК,"Курс реализует часть программы  дисциплины общего гуманитарного и социально-экономического цикла ""История, литература, культура родного края"" в рамках дистанционного обучения студентов СПО.","Курс ""История, литература, культура родного края"" (ИЛКРК) разработан в соответствии с требованиями:

 - Федерального государственного образовательного стандарта по специальностям среднего профессионального образования (далее - СПО): 49.02.01 Физическая культура, утвержденного приказом Министерства образования и науки РФ от 27 октября 2014 г. № 1355; Преподавание в начальных классах, утвержденного приказом Министерства образования и науки РФ от 27 октября 2014 г. № 1353; Дошкольное образование, утвержденного приказом Министерства образования и науки РФ от 27 октября 2014 г. № 1351; Педагогика дополнительного образования, утвержденного приказом Министерства образования и науки РФ от 13 августа 2014 г. № 998;

- Программы подготовки специалистов среднего звена по специальности 49.02.01 Физическая культура;

- Программы подготовки специалистов среднего звена по специальности 44.02.02. Преподавание в начальных классах;

- Программы подготовки специалистов среднего звена по специальности 44.02.01. Дошкольное образование;

- Программы подготовки специалистов среднего звена по специальности 44.02.03. Педагогика дополнительного образования;

- Рабочей программы учебной дисциплины ОГСЭ 08. История, литература, культура родного края.

Курс является часть учебно-методического комплекса дисциплины ""История, литература, культура родного края"".",студенты второго курса  учреждений среднего профессионального образования 
География,ГЕОГРАФИЯ,"Онлайн-курс ""География"" знакомит с основными направлениями политического, экономического и социального устройства мира и его дифференциации по регионам и странам. Курс разработан с учетом требований ФГОС СПО.","Онлайн-курс ""География"" нацелен на освоение системы географических знаний о целостном, многообразном и динамично изменяющемся мире, взаимосвязи природы, населения и хозяйства на всех территориальных уровнях.

В результате освоения учебной дисциплины обучающийся должен уметь:

-         определять и сравнивать по разным источникам информации географические тенденции развития природных, социально-экономических и геоэкологических объектов, процессов и явлений;

-         оценивать и объяснять ресурсообеспеченность отдельных стран и регионов мира, их демографическую ситуацию, уровни урбанизации и территориальной концентрации населения и производства, степень природных, антропогенных и техногенных изменений отдельных территорий;

-         составлять комплексную географическую характеристику регионов и стран мира; таблицы, картосхемы, диаграммы, простейшие карты, модели, отражающие географические закономерности различных явлений и процессов, их территориальные взаимодействия;

-         сопоставлять географические карты различной тематики;

-         использовать приобретенные знания и умения в практической деятельности и повседневной жизни:

-         понимания географической специфики крупных регионов и стран мира в условиях глобализации, стремительного развития международного туризма и отдыха, деловых и образовательных программ, различных видов человеческого общения.

В результате освоения учебной дисциплины обучающийся должен знать:

-         основные географические понятия и термины; традиционные и новые методы географических исследований;

-         особенности размещения основных видов природных ресурсов, их главные месторождения и территориальные сочетания; численность и динамику населения мира, отдельных регионов и стран, их этногеографическую специфику; различия в уровне и качестве жизни населения, основные направления миграций; проблемы современной урбанизации;

-         географические аспекты отраслевой и территориальной структуры мирового хозяйства, размещения его основных отраслей; географическую специфику отдельных стран и регионов, их различия по уровню социально-экономического развития, специализации в системе международного географического разделения труда; географические аспекты глобальных проблем человечества;

-         особенности современного геополитического и геоэкономического положения России, ее роль в международном географическом разделении труда;","Студенты всех направлений подготовки, обучающиеся по образовательным программам среднего профессионального образования, а также всех интересующихся географией."
